CLASSE,ESPECIFICAÇÃO, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE, AFINIDADE,ESPECIFICAÇÃO AFINIDADE,,,,,,,,,,
11,Aparelhos de ar-condicionado para veículos,19,Dutos não metálicos para instalações de ventilação e ar condicionado37,37,"Instalação e conserto de ar condicionado, inclusive de veículo;  Instalação e reparo de aparelhos de ar condicionado",40,Aluguel de aparelhos de ar condicionado,,,,,,,,,,,,,,
11,Aparelhos de iluminação de LED [diodos emissores de luz],4,Artigo para iluminação não elétrico,35,Comércio [através de qualquer meio] de aparelhos de iluminação; Comércio [através de qualquer meio] de artigos de iluminação,41,Aluguel de equipamentos para iluminação de teatro ou estúdios de televisão,43,Aluguel de equipamentos de iluminação,,,,,,,,,,,,
11,Aparelhos e instalações de refrigeração,35,Comércio [através de qualquer meio] de aparelhos de refrigeração,37,Conserto e manutenção de equipamentos de refrigeração; Instalação e reparo de equipamentos de refrigeração,,,,,,,,,,,,,,,,
11,Aparelhos elétricos de aquecimento,7,Bombas para instalações de aquecimento,35,Comércio [através de qualquer meio] de aparelhos de aquecimento,37,Instalação e reparo de equipamentos de aquecimento,40,Aluguel de aparelhos para aquecimento de ambientes,,,,,,,,,,,,
11,Aparelhos para bronzeamento,44,Bronzeamento artificial,,,,,,,,,,,,,,,,,,
11,Aparelhos para grelhar [grelhadores],21,Grelhas [utensílios para cozinhar]; Suportes para grelhas,,,,,,,,,,,,,,,,,,
11,Fornos [cozedores],37,Instalação e reparo de forno,,,,,,,,,,,,,,,,,,
11,Fornos de micro-onda [aparelhos de cozinha],37,Instalação e reparo de forno,,,,,,,,,,,,,,,,,,
11,Fornos de micro-ondas para fins industriais,37,Instalação e reparo de forno,,,,,,,,,,,,,,,,,,
11,Fornos de padarias,37,Instalação e reparo de forno,,,,,,,,,,,,,,,,,,
11,Panelas elétricas,21,Fechos para tampas de panelas; Panelas não elétricas; Pega-panelas,35,Comércio [através de qualquer meio] de panelas,,,,,,,,,,,,,,,,
12,Aeronaves,37,Manutenção e reparo de aeronaves,39,Aluguel de aeronaves; Aluguel de motores de aeronaves,40,Fabricação personalizada de aeronaves,,,,,,,,,,,,,,
12,Automóveis,11,Faróis para automóveis; Luzes para automóveis,27,Tapetes para automóveis,37,"Manutenção e reparo de automóveis; Serviços de centro de diagnóstico de veículo [serviços de manutenção/reparo de 
automóveis]",39,Locação de automóveis,,,,,,,,,,,,
12,Bicicletas,6,Instalações de metal para estacionar bicicletas,7,Máquinas para montagem de bicicletas,11,Luzes direcionais para bicicletas,28,Bicicletas fixas para exercício,,,,,,,,,,,,
12,Carrinhos de bebê,18,Bolsas para carregar bebês [slings];  Mochilas para carregar bebês; Slings para carregar bebês,20,Andadores para bebês; Bebê conforto; Berços para bebês; Cadeira para bebê,,,,,,,,,,,,,,,,
13,Armas de fogo,9,Miras telescópicas para armas de fogo,35,Comércio [através de qualquer meio] de armas de fogo,,,,,,,,,,,,,,,,
13,Fogos de artifício,35,Comércio [através de qualquer meio] de fogos de artifício,,,,,,,,,,,,,,,,,,
13,Fogos de artifício pequenos,35,Comércio [através de qualquer meio] de fogos de artifício,,,,,,,,,,,,,,,,,,
13,Explosivos,7,Pistolas [ferramentas que utilizam cartuchos explosivos],35,Comércio [através de qualquer meio] de explosivos,,,,,,,,,,,,,,,,
14,Abotoaduras,26,"Artigos de armarinho [itens de costura], exceto linhas *",35,Comércio [através de qualquer meio] de botões [artigos de armarinho],,,,,,,,,,,,,,,,
14,Anéis [joias e bijuterias],20,Painéis organizadores de joalheria e bijuteria,35,Comércio [através de qualquer meio] de bijuteria,37,Serviços de reparo de joias e bijuterias,36,"Assessoria, consultoria e informação em avaliação de jóias; Avaliação de jóias",,,,,,,,,,,,
14,Artigos de joalheria / bijuteria,20,Painéis organizadores de joalheria e bijuteria,35,Comércio [através de qualquer meio] de bijuteria,37,Serviços de reparo de joias e bijuterias,36,"Assessoria, consultoria e informação em avaliação de jóias; Avaliação de jóias",,,,,,,,,,,,
14,Brincos,20,Painéis organizadores de joalheria e bijuteria,35,Comércio [através de qualquer meio] de bijuteria,37,Serviços de reparo de joias e bijuterias,36,"Assessoria, consultoria e informação em avaliação de jóias; Avaliação de jóias",,,,,,,,,,,,
14,Caixas de relógios [de parede ou de sala],9,Relógios de ponto; Relógios inteligentes,37,Reparos de relógios,35,Comércio [através de qualquer meio] de artigos de relojoaria,,,,,,,,,,,,,,
14,Caixas de metal precioso,35,"Comércio [através de qualquer meio] de metais preciosos e suas ligas; Comércio [através de qualquer meio] de produtos confeccionados de metais preciosos 
ou folheados",,,,,,,,,,,,,,,,,,
14,Colares [joias e bijuterias],20,Painéis organizadores de joalheria e bijuteria,35,Comércio [através de qualquer meio] de bijuteria,37,Serviços de reparo de joias e bijuterias,36,"Assessoria, consultoria e informação em avaliação de jóias; Avaliação de jóias",,,,,,,,,,,,
